Main condition/term,Location options,All synonyms,Synonym term 1,Synonym term 2,Synonym term 3,Synonym term 4,Additional synonyms,Legacy term 1,Legacy term 2,Legacy term 3,Legacy term 4,Legacy term 5,Legacy term 6,Legacy term 7,Autosuggestion term 1,Autosuggestion term 2,Autosuggestion term 3,Autosuggestion term 4,Autosuggestion term 5,Autosuggestion term 6,Classification Code,Classification Text,Diagnostic Code(s),Diagnostic Description or DC Group,DBQ (reference only),PACT Presumptive (reference only),Active autosuggestion terms,Active classification mapping,Term 1st appeared,Term removed,Term updated,Synonyms updated,Autosuggestion updated,Classification updated,Current Notes
abnormal heart,,,,,,,,,,,,,,,,,,,,,8979,Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,v1.0,,,,,
"abscess, brain",,,,,,,,,,,,,,,,,,,,,9007,Neurological other System,,,,,Inactive,Active,v0.1,v1.0,,,,,
"abscess, kidney",,,,,,,,,,,,,,,,,,,,,8975,Genitourinary,,,,,Inactive,Active,v0.1,v1.0,,,,,
"abscess, liver",,,,,,,,,,,,,,,,,,,,,8968,Digestive,,,,,Inactive,Active,v0.1,v1.0,,,,,
ACL tear (anterior cruciate ligament tear),"left, right, bilateral","ACL |
ACL tear |
anterior cruciate ligament tear",ACL,ACL tear,anterior cruciate ligament tear,,,ACL,ACL tear,anterior cruciate ligament tear,,,,,"ACL tear (anterior cruciate ligament tear), right","ACL tear (anterior cruciate ligament tear), left","ACL tear (anterior cruciate ligament tear), bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,
acne,,,,,,,,,,,,,,,acne,,,,,,9016,Skin,7828,acne,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,
acromegaly,,,,,,,,,,,,,,,,,,,,,8973,Endocrine,,,,,Inactive,Active,v0.1,v1.0,,,,,
Addison's disease,,,,,,,,,,,,,,,,,,,,,8973,Endocrine,,,,,Inactive,Active,v0.1,v1.0,,,,,
Adhesions - Digestive,,,,,,,,,,,,,,,,,,,,,8920,Adhesions - Digestive,,,,,Inactive,Active,v0.1,v1.0,,,,,
Adhesions - Gynecological,,,,,,,,,,,,,,,,,,,,,8921,Adhesions - Gynecological,,,,,Inactive,Active,v0.1,v1.0,,,,,
Adhesions - Heart/Veins/Arteries,,,,,,,,,,,,,,,,,,,,,8922,Adhesions - Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,v1.0,,,,,
Adhesions - Neurological other System,,,,,,,,,,,,,,,,,,,,,8923,Adhesions - Neurological other System,,,,,Inactive,Active,v0.1,v1.0,,,,,
Adhesions - Respiratory,,,,,,,,,,,,,,,,,,,,,8924,Adhesions - Respiratory,,,,,Inactive,Active,v0.1,v1.0,,,,,
adjustment disorder,,,,,,,,,,,,,,,adjustment disorder,,,,,,8989,Mental Disorders,9440,chronic adjustment disorder,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,,,,
Administrative Issue,,,,,,,,,,,,,,,,,,,,,8925,Administrative Issue,,,,,Inactive,Active,v0.1,v1.0,,,,,
AL amyloidosis (primary amyloidosis),,"AL amyloidosis |
primary amyloidosis",AL amyloidosis,primary amyloidosis,,,,,,,,,,,AL amyloidosis (primary amyloidosis),,,,,,8939,Cancer - Hemic and Lymphatic,7717,AL amyloidosis (primary amyloidosis),"DBQ HEM Hematologic and Lymphatic Conditions, Including Leukemia",no,Active,Active,v1.3,,,,,,
alcohol abuse,,,,,,,,,,,,,,,,,,,,,8989,Mental Disorders,,,,,Inactive,Active,v0.1,v1.0,,,,,
alopecia,,,,,,,,,,,,,,,alopecia,,,,,,9016,Skin,Multiple,Alopecia group,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,
ALS (amyotrophic lateral sclerosis),,"ALS |
amyotrophic lateral sclerosis",ALS,amyotrophic lateral sclerosis,,,,amyotrophic lateral sclerosis,Lou Gehrig's disease,,,,,,ALS (amyotrophic lateral sclerosis),,,,,,9007,Neurological other System,8017,amyotrophic lateral sclerosis,DBQ NEURO ALS (Lou Gehrig's Disease),no,Active,Active,v1.0,,,,,,
alveolar abscesses,,,,,,,,,,,,,,,,,,,,,8967,Dental and Oral,,,,,Inactive,Active,v0.1,v1.0,,,,,
Alzheimer's disease,,"Alzheimer's |
Alzheimers |
Senile dementia",Alzheimer's,Senile dementia,,,,,,,,,,,Alzheimer's disease,,,,,,8989,Mental Disorders,9312,"dementia, alzheimer's type",DBQ PSYCH Mental Disorders,,Active,Active,v1.3,,,,,,
amebiasis,,,,,,,,,,,,,,,,,,,,,8968,Digestive,,,,,Inactive,Active,v0.1,v1.0,,,,,
amputation - above knee,,,,,,,,,,,,,,,,,,,,,8990,Musculoskeletal - Amputations,,,,,Inactive,Active,v0.1,v1.0,,,,,
"amputation - arm, forearm, hand",,,,,,,,,,,,,,,,,,,,,8990,Musculoskeletal - Amputations,,,,,Inactive,Active,v0.1,v1.0,,,,,
amputation - below knee,,,,,,,,,,,,,,,,,,,,,8990,Musculoskeletal - Amputations,,,,,Inactive,Active,v0.1,v1.0,,,,,
amputation - foot (feet),,"amputation foot |
amputation feet",amputation foot,amputation feet,,,,,,,,,,,,,,,,,8990,Musculoskeletal - Amputations,,,,,Inactive,Active,v0.1,v1.0,,,,,
amputation - leg(s),,"amputation leg |
amputation legs",amputation leg,amputation legs,,,,,,,,,,,,,,,,,8990,Musculoskeletal - Amputations,,,,,Inactive,Active,v0.1,v1.0,,,,,
amputation - multiple fingers,,,,,,,,,,,,,,,,,,,,,8990,Musculoskeletal - Amputations,,,,,Inactive,Active,v0.1,v1.0,,,,,
amputation - single finger,,,,,,,,,,,,,,,,,,,,,8990,Musculoskeletal - Amputations,,,,,Inactive,Active,v0.1,v1.0,,,,,
anal cancer,,cancer - anus,cancer - anus,,,,,,,,,,,,anal cancer,,,,,,8932,Cancer - Digestive,7343,malignant growths of digestive system,DBQ GI Rectum & Anus,yes,Active,Active,v1.0,,,v1.2,,,
anal or perianal fistula (fistula-in-ano),,"anal or perianal fistula |
anal fistula |
perianal fistula |
fistula-in-ano",anal or perianal fistula,anal fistula,perianal fistula,fistula-in-ano,,,,,,,,,anal or perianal fistula (fistula-in-ano),,,,,,8968,Digestive,7335,"ano, fistula",DBQ GI Rectum & Anus,no,Active,Active,v1.0,,,,,,
anemia,,,,,,,,"anemia, primary",primary anemia,,,,,,anemia,,,,,,8981,Hemic and Lymphatic,7700,anemia [Removed],"DBQ HEM Hematologic and Lymphatic Conditions, Including Leukemia",no,Inactive,Active,v1.0,v1.1,,,,,this was included in error before; we have more specific terms for iron deficiency anemia and sickle cell anemia
Aneurysm - Heart/Veins/Arteries,,,,,,,,,,,,,,,,,,,,,8926,Aneurysm - Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,v1.0,,,,,
Aneurysm - Neurological other System,,,,,,,,,,,,,,,,,,,,,8927,Aneurysm - Neurological other System,,,,,Inactive,Active,v0.1,v1.0,,,,,
angina,,,,,,,,,,,,,,,,,,,,,8979,Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,v1.0,,,,,
ankle replacement (ankle arthroplasty),"left, right, bilateral","ankle arthroplasty |
ankle replacement |
ankle replacement (prosthesis) |
ankle prosthesis",ankle arthroplasty,ankle replacement,ankle replacement (prosthesis),ankle prosthesis,,,,,,,,,"ankle replacement (ankle arthroplasty), right","ankle replacement (ankle arthroplasty), left","ankle replacement (ankle arthroplasty), bilateral",,,,8991,Musculoskeletal - Ankle,5056,ankle replacement,DBQ MUSC Ankle,no,Active,Active,v1.0,,,v1.2,,,
ankle sprain,"left, right, bilateral",,,,,,,ankle sprain,,,,,,,"ankle sprain, right","ankle sprain, left","ankle sprain, bilateral",,,,8991,Musculoskeletal - Ankle,Multiple,Ankle DC Group,DBQ MUSC Ankle,no,Active,Active,v1.0,,,,,,
ankle strain,,,,,,,,,,,,,,,,,,,,,8991,Musculoskeletal - Ankle,,,,,Inactive,Active,v0.1,v1.0,,,,,
ankylosis in ankle,"left, right, bilateral","subastragalar or tarsal joint, ankylosis |
ankle stiffness","subastragalar or tarsal joint, ankylosis",ankle stiffness,,,,,,,,,,,"ankylosis in ankle, right","ankylosis in ankle, left","ankylosis in ankle, bilateral",,,,8991,Musculoskeletal - Ankle,Multiple,Ankle DC Group,DBQ MUSC Ankle,no,Active,Active,v1.0,,,v1.2,,,
ankylosis in elbow,"left, right, bilateral",,,,,,,,,,,,,,"ankylosis in elbow, right","ankylosis in elbow, left","ankylosis in elbow, bilateral",,,,8993,Musculoskeletal - Elbow,Multiple,Elbow and Forearm DC Group,DBQ MUSC Elbow and forearm,no,Active,Active,v1.0,,,,,,
ankylosis in hand or fingers,"left, right, bilateral","ankylosis in hand |
ankylosis in fingers",ankylosis in hand,ankylosis in fingers,,,,,,,,,,,"ankylosis in hand or fingers, right","ankylosis in hand or fingers, left","ankylosis in hand or fingers, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,
ankylosis in hip,"left, right, bilateral",,,,,,,,,,,,,,"ankylosis in hip, right","ankylosis in hip, left","ankylosis in hip, bilateral",,,,8996,Musculoskeletal - Hip,Multiple,Hip and Thigh DC Group,DBQ MUSC Hip and thigh,no,Active,Active,v1.0,,,,,,
ankylosis in knee,"left, right, bilateral",,,,,,,,,,,,,,"ankylosis in knee, right","ankylosis in knee, left","ankylosis in knee, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,
ankylosis in shoulder,"left, right, bilateral",,,,,,,,,,,,,,"ankylosis in shoulder, right","ankylosis in shoulder, left","ankylosis in shoulder, bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,
ankylosis in wrist,"left, right, bilateral",,,,,,,,,,,,,,"ankylosis in wrist, right","ankylosis in wrist, left","ankylosis in wrist, bilateral",,,,9004,Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,
anorexia (type of eating disorder),,anorexia,anorexia,,,,,,,,,,,,anorexia (type of eating disorder),,,,,,8970,Eating Disorders,9520,anorexia nervosa,DBQ PSYCH Eating Disorders,no,Active,Active,v1.0,,,,,,
anxiety (including generalized anxiety disorder),,"anxiety |
generalized anxiety disorder |
GAD |
anxiety condition |
unspecified anxiety disorder |
other specified anxiety disorder",generalized anxiety disorder,GAD,unspecified anxiety disorder,other specified anxiety disorder,,anxiety condition,,,,,,,generalized anxiety disorder (GAD),,,,,,8989,Mental Disorders,9400,generalized anxiety disorder,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,v1.3,,,"v1.3 Changed from ""generalized anxiety disorder (GAD)"" to ""anxiety (including generalized anxiety disorder)"""
aortic insufficiency (aortic regurgitation),,"aortic insufficiency |
aortic regurgitation",aortic insufficiency,aortic regurgitation,,,,,,,,,,,aortic insufficiency (aortic regurgitation),,,,,,8979,Heart/Veins/Arteries,7000,valvular heart disease,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,
aortic valve disease,,,,,,,,,,,,,,,aortic valve disease,,,,,,8979,Heart/Veins/Arteries,7000,valvular heart disease,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,
Arm Condition - Heart/Veins/Arteries,,,,,,,,,,,,,,,,,,,,,8928,Arm Condition - Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,v1.0,,,,,
Arm Condition - Neurological other System,,,,,,,,,,,,,,,,,,,,,8929,Arm Condition - Neurological other System,,,,,Inactive,Active,v0.1,v1.0,,,,,
arrhythmia (irregular heartbeat),,"arrhythmia |
irregular heartbeat",arrhythmia,irregular heartbeat,,,,arrhythmia,,,,,,,arrhythmia (irregular heartbeat),,,,,,8979,Heart/Veins/Arteries,Multiple,Arrhythmia Group,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,
"Asbestosis, silicosis, or other pneumoconiosis",,"asbestosis |
pneumoconiosis (silicosis, anthracosis, etc.) |
silicosis |
anthracosis","asbestosis
","pneumoconiosis (silicosis, anthracosis, etc.)",silicosis,anthracosis,,asbestosis (asbestos disease),,,,,,,"Asbestosis, silicosis, or other pneumoconiosis",,,,,,9012,Respiratory,Multiple,ILD Group,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.3,,,,,,
asthma,,"Asthma, bronchial","Asthma, bronchial",,,,,,,,,,,,asthma,,,,,,9012,Respiratory,6602,bronchial asthma,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.0,,,v1.2,,,
astragalectomy or talectomy (removal of talus bone in ankle),"left, right, bilateral","astragalectomy |
talectomy |
removal of talus bone in ankle",astragalectomy,talectomy,removal of talus bone in ankle,,,,,,,,,,"astragalectomy or talectomy (removal of talus bone in ankle), right","astragalectomy or talectomy (removal of talus bone in ankle), left","astragalectomy or talectomy (removal of talus bone in ankle), bilateral",,,,8991,Musculoskeletal - Ankle,5274,astragalectomy,DBQ MUSC Ankle,no,Active,Active,v1.0,,,,,,
athlete's foot (tinea pedis),,"athlete's foot |
tinea pedis |
foot fungus",athlete's foot,tinea pedis,,,,athlete's foot,tinea pedis,,,,,,athlete's foot (tinea pedis),,,,,,9016,Skin,7813,dermatophytosis,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,v1.3,,Dropdown Lookup v0.3,"v1.3 added synonym ""foot fungus"""
atrial fibrillation (A-fib),,"atrial fibrillation |
A-fib",atrial fibrillation,A-fib,,,,,,,,,,,atrial fibrillation (A-fib),,,,,,8979,Heart/Veins/Arteries,7010,supraventricular tachycardia,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,
"atrophy, progressive muscular",,,,,,,,progressive muscular atrophy,,,,,,,,,,,,,9007,Neurological other System,,,,,Inactive,Active,v0.1,v1.0,,,,,
avitaminosis,,,,,,,,pellagra,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,v1.0,,,,,
"back pain or stiffness, diagnosis unknown",,"back pain |
stiff back |
back stiffness",,,,,,,,,,,,,"back pain or stiffness, diagnosis unknown",,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),Multiple,musculoskeletal: spine group,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.3,,,,,,
basal cell carcinoma of the skin,"head or neck, extremities or trunk",skin carcinoma,skin carcinoma,,,,,,,,,,,,"basal cell carcinoma of the skin, head or neck","basal cell carcinoma of the skin, extremities or trunk",,,,,1250,Cancer - Skin,7818,malignant growths of the skin,DBQ DERM Skin Diseases,"yes, if head or neck",Inactive,Active,v1.1,v1.3,,,,,"v1.3 Removed and replaced by ""Skin cancer..."""
beriberi (including beriberi heart disease),,"beriberi |
beriberi heart disease",beriberi,beriberi heart disease,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,v1.0,,,,,
bipolar disorder,,,,,,,,,,,,,,,bipolar disorder,,,,,,8989,Mental Disorders,9432,bipolar disorder,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,,,,
Birth Defect in Child,,,,,,,,,,,,,,,,,,,,,680,Birth Defect in Child,,,,,Inactive,Active,v0.1,v1.0,,,,,
bladder cancer,,,,,,,,,,,,,,,bladder cancer,,,,,,8935,Cancer - Genitourinary,7528,malignant growths of genitourinary system,DBQ GU Urinary Tract Conditions,yes,Active,Active,v1.0,,,,,,
bladder condition,,,,,,,,,,,,,,,,,,,,,8975,Genitourinary,,,,,Inactive,Active,v0.1,v1.0,,,,,
bladder stones,,,,,,,,bladder stone(s),calculus - bladder,,,,,,bladder stones,,,,,,8975,Genitourinary,7515,calculus in bladder,DBQ GU Urinary Tract Conditions,no,Active,Active,v1.0,,,,,,
"bone cancer, including osteosarcoma","head or neck, extremities or trunk","bone cancer |
osteosarcoma",bone cancer,osteosarcoma,,,,,,,,,,,"bone cancer, including osteosarcoma, head or neck","bone cancer, including osteosarcoma, extremities or trunk",,,,,8940,Cancer - Musculoskeletal - Other,5012,malignant growth of the bones,DBQ MUSC Bones and Other Skeletal Conditions,"yes, if head or neck",Active,Active,v1.1,,,,,Contention Text Lookup v0.5,Compensation Service SMEs confirmed that this is the relevant DBQ.
Boutonniere deformity in fingers,"left, right, bilateral",,,,,,,,,,,,,,"Boutonniere deformity in fingers, right","Boutonniere deformity in fingers, left","Boutonniere deformity in fingers, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,
"brain cancer, including glioblastoma",,"brain cancer |
glioblastoma",brain cancer,glioblastoma,,,,cancer - brain,,,,,,,"brain cancer, including glioblastoma",,,,,,8942,Cancer - Neurological other System,8002,malignant growth of the brain,DBQ NEURO Central Nervous System and Neuromuscular Diseases,yes,Active,Active,v1.1,,,,,,
brain hemorrhage,,,,,,,,,,,,,,,,,,,,,8972,Embolism/Infarction - Neurological other System,,,,,Inactive,Active,v0.1,v1.0,,,,,
brain thrombosis,,,,,,,,"thrombosis, brain",,,,,,,,,,,,,8972,Embolism/Infarction - Neurological other System,,,,,Inactive,Active,v0.1,v1.0,,,,,
breast cancer,"left, right, bilateral",,,,,,,cancer - breast,comedocarcinoma,,,,,,"breast cancer, right","breast cancer, left","breast cancer, bilateral",,,,8937,Cancer - Gynecological,7630,malignant neoplasms of the breast,DBQ GYN Breast,yes,Active,Active,v1.1,,,,,,
breast condition,"left, right, bilateral",,,,,,,,,,,,,,"breast condition, right","breast condition, left","breast condition, bilateral",,,,8978,Gynecological,,,,,Inactive,Active,v0.1,v1.0,,,,,
bronchiectasis,,,,,,,,,,,,,,,bronchiectasis,,,,,,9012,Respiratory,6601,bronchiectasis (dilatation of the bronchi),DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.1,,,,,,
bruxism (teeth grinding),,"tooth grinding |
bruxism |
teeth grinding",,,,,,,,,,,,,bruxism (teeth grinding),,,,,,249481,Dental and Oral - Musculoskeletal,9905,temporomandibular disorder (TMD),DBQ MUSC Temporomandibular Disorders,no,Active,Active,v1.3,,,,,,
Buerger's disease,,,,,,,,,,,,,,,,,,,,,8979,Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,v1.0,,,,,
bulimia (type of eating disorder),,bulimia,bulimia,,,,,,,,,,,,bulimia (type of eating disorder),,,,,,8970,Eating Disorders,9521,bulimia nervosa,DBQ PSYCH Eating Disorders,no,Active,Active,v1.0,,,,,,
bunions (hallux valgus),"left, right, bilateral","bunions |
hallux valgus",bunions,hallux valgus,,,,,,,,,,,"bunions (hallux valgus), right","bunions (hallux valgus), left","bunions (hallux valgus), bilateral",,,,8994,Musculoskeletal - Foot,5280,hallux valgus - foot,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,
bursitis in ankle,"left, right, bilateral",,,,,,,,,,,,,,"bursitis in ankle, right","bursitis in ankle, left","bursitis in ankle, bilateral",,,,8991,Musculoskeletal - Ankle,Multiple,Ankle DC Group,DBQ MUSC Ankle,no,Active,Active,v1.0,,,,,,
bursitis in elbow,"left, right, bilateral",,,,,,,,,,,,,,"bursitis in elbow, right","bursitis in elbow, left","bursitis in elbow, bilateral",,,,8993,Musculoskeletal - Elbow,Multiple,Elbow and Forearm DC Group,DBQ MUSC Elbow and forearm,no,Active,Active,v1.0,,,,,,
bursitis in foot,"left, right, bilateral",,,,,,,,,,,,,,"bursitis in foot, right","bursitis in foot, left","bursitis in foot, bilateral",,,,8994,Musculoskeletal - Foot,Multiple,Foot DC Group,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,
bursitis in hand or fingers,"left, right, bilateral","bursitis in hand |
bursitis in fingers",bursitis in hand,bursitis in fingers,,,,,,,,,,,"bursitis in hand or fingers, right","bursitis in hand or fingers, left","bursitis in hand or fingers, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,
bursitis in hip,"left, right, bilateral",,,,,,,,,,,,,,"bursitis in hip, right","bursitis in hip, left","bursitis in hip, bilateral",,,,8996,Musculoskeletal - Hip,Multiple,Hip and Thigh DC Group,DBQ MUSC Hip and thigh,no,Active,Active,v1.0,,,,,,
bursitis in knee,"left, right, bilateral",,,,,,,,,,,,,,"bursitis in knee, right","bursitis in knee, left","bursitis in knee, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,
bursitis in shoulder,"left, right, bilateral",,,,,,,,,,,,,,"bursitis in shoulder, right","bursitis in shoulder, left","bursitis in shoulder, bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,
bursitis in wrist,"left, right, bilateral",,,,,,,,,,,,,,"bursitis in wrist, right","bursitis in wrist, left","bursitis in wrist, bilateral",,,,9004,Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,
cancer - bronchus,,,,,,,,,,,,,,,,,,,,,1230,Cancer - Respiratory,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Dental and Oral,,"Cancer Dental |
Cancer oral",Cancer Dental,Cancer oral,,,,,,,,,,,,,,,,,8931,Cancer - Dental and Oral,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Digestive,,,,,,,,cancer - gastrointestinal tract,,,,,,,,,,,,,8932,Cancer - Digestive,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Endocrine,,,,,,,,,,,,,,,,,,,,,8933,Cancer - Endocrine,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Genitourinary,,,,,,,,cancer - urogenital system (except prostate),,,,,,,,,,,,,8935,Cancer - Genitourinary,,,,,Inactive,Active,v0.1,v1.0,,,,,
cancer - gum,,,,,,,,,,,,,,,,,,,,,8931,Cancer - Dental and Oral,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Gynecological,,,,,,,,,,,,,,,,,,,,,8937,Cancer - Gynecological,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Heart/Veins/Arteries,,,,,,,,,,,,,,,,,,,,,8938,Cancer - Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Hemic and Lymphatic,,"Cancer Hemic |
Cancer Lymphatic",Cancer Hemic,Cancer Lymphatic,,,,lymphomas,cancer - lymph nodes,,,,,,,,,,,,8939,Cancer - Hemic and Lymphatic,,,,,Inactive,Active,v0.1,v1.0,,,,,
cancer - lip,,,,,,,,,,,,,,,,,,,,,8931,Cancer - Dental and Oral,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Musculoskeletal - Ankle,,,,,,,,,,,,,,,,,,,,,249469,Cancer - Musculoskeletal - Ankle,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Musculoskeletal - Elbow,,,,,,,,,,,,,,,,,,,,,249470,Cancer - Musculoskeletal - Elbow,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Musculoskeletal - Foot,,,,,,,,,,,,,,,,,,,,,249472,Cancer - Musculoskeletal - Foot,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Musculoskeletal - Hand,,,,,,,,,,,,,,,,,,,,,249471,Cancer - Musculoskeletal - Hand,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Musculoskeletal - Hip,,,,,,,,,,,,,,,,,,,,,249474,Cancer - Musculoskeletal - Hip,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Musculoskeletal - Knee,,,,,,,,,,,,,,,,,,,,,249473,Cancer - Musculoskeletal - Knee,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),,,,,,,,,,,,,,,,,,,,,249475,Cancer - Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Musculoskeletal - Neck/Upper Back (Cervical Spine),,,,,,,,,,,,,,,,,,,,,249476,Cancer - Musculoskeletal - Neck/Upper Back (Cervical Spine),,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Musculoskeletal - Other,,,,,,,,,,,,,,,,,,,,,8940,Cancer - Musculoskeletal - Other,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Musculoskeletal - Shoulder,,,,,,,,,,,,,,,,,,,,,249477,Cancer - Musculoskeletal - Shoulder,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Musculoskeletal - Wrist,,,,,,,,,,,,,,,,,,,,,249478,Cancer - Musculoskeletal - Wrist,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Musculoskeletal and Muscle Injuries,,,,,,,,,,,,,,,,,,,,,8941,Cancer - Musculoskeletal and Muscle Injuries,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Neurological other System,,,,,,,,,,,,,,,,,,,,,8942,Cancer - Neurological other System,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Respiratory,,,,,,,,,,,,,,,,,,,,,1230,Cancer - Respiratory,,,,,Inactive,Active,v0.1,v1.0,,,,,
Cancer - Skin,,,,,,,,,,,,,,,,,,,,,1250,Cancer - Skin,,,,,Inactive,Active,v0.1,v1.0,,,,,
"Cancer - Spinal cord, head/neck",,,,,,,,,,,,,,,,,,,,,8942,Cancer - Neurological other System,8021,Cancer of the Spinal Cord of the head/neck,DBQ NEURO Central Nervous System and Neuromuscular Diseases,yes,Inactive,Active,v1.3,,,,,,
carpal tunnel syndrome,"left, right, bilateral",,,,,,,,,,,,,,"carpal tunnel syndrome, right","carpal tunnel syndrome, left","carpal tunnel syndrome, bilateral",,,,9006,Neurological - Cranial/Peripheral Nerves,8515,paralysis of the median nerve,DBQ NEURO Peripheral Nerves,no,Active,Active,v1.0,,,,,,
cataract,,,,,,,,"cataracts, posterior subcapsular",posterior subcapsular cataracts,,,,,,,,,,,,8974,Eye (Vision),,,,,Inactive,Active,v0.1,v1.0,,,,,
cervical cancer,,,,,,,,,,,,,,,cervical cancer,,,,,,8937,Cancer - Gynecological,7627,malignant growths of gynecological system,DBQ GYN Gynecological,yes,Active,Active,v1.1,,,,,,
cervical spinal stenosis (narrowing of spinal canal in neck),,"cervical spinal stenosis |
narrowing of spinal canal in neck",cervical spinal stenosis,narrowing of spinal canal in neck,,,,,,,,,,,cervical spinal stenosis (narrowing of spinal canal in neck),,,,,,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),5238,spinal stenosis,DBQ MUSC Neck (cervical spine),no,Active,Active,v1.0,,,,,,
cervicitis,,,,,,,,,,,,,,,,,,,,,8978,Gynecological,,,,,Inactive,Active,v0.1,v1.0,,,,,
chloracne,,,,,,,,,,,,,,,chloracne,,,,,,9016,Skin,7829,chloracne,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,
cholera,,,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,v1.0,,,,,
choroiditis,,,,,,,,cyclitis,keratitis,iritis,scleritis,uveitis,,,,,,,,,8974,Eye (Vision),,,,,Inactive,Active,v0.1,v1.0,,,,,
